meas:1 6/4 ticks:4608
  0   1  0.000 v1 s1 t=0    re1_1RM         R   M.   -- --- | damp:down section:7000 metro:q:80
 18   2  1.579 v5 s2 t=1617 n2_5Fs1t_2      F#1 t    -- --o | d:ppp
 19   2  1.662 v5 s2 t=1702 n2_5Cs2t_6      C#2 t    -- --o | d:ppp
 20   2  1.745 v5 s2 t=1787 n2_5A2t_7       A2  t    -- --o | d:ppp
 21   2  1.828 v5 s2 t=1872 n2_5Cs2t_7      C#2 t    -- --o | d:ppp
 22   2  1.911 v5 s2 t=1957 n2_5Fs1s_2      F#1 s    -- --o | d:ppp
 23   2  2.078 v5 s2 t=2128 n2_5A2t_8       A2  t    -- --o | d:ppp
 24   2  2.161 v5 s2 t=2213 n2_5Cs2t_8      C#2 t    -- --o | d:ppp
 25   2  2.244 v5 s2 t=2298 n2_5A2t_9       A2  t    -- --o | d:ppp
 26   2  2.250 v1 s1 t=2304 re2_1Rh_1       R   h    -- --- | 
 27   2  2.327 v5 s2 t=2383 n2_5Fs1t_3      F#1 t    -- --o | d:ppp
 28   2  2.410 v5 s2 t=2468 n2_5Cs2t_9      C#2 t    -- --o | d:ppp
 29   2  2.493 v5 s2 t=2553 n2_5A2t_10      A2  t    -- --o | d:ppp
 30   2  2.576 v5 s2 t=2638 n2_5Cs2t_10     C#2 t    -- --o | d:ppp
 31   2  2.659 v5 s2 t=2723 n2_5Fs1s_3      F#1 s    -- --o | d:ppp
 32   2  2.826 v5 s2 t=2894 n2_5A2t_11      A2  t    -- --o | d:ppp
 33   2  2.909 v5 s2 t=2979 n2_5Cs2t_11     C#2 t    -- --o | d:ppp
 34   2  2.992 v5 s2 t=3064 n2_5A2t_12      A2  t    -- --o | d:ppp
 35   2  3.075 v5 s2 t=3149 n2_5Fs1t_4      F#1 t    -- --o | d:ppp
 36   2  3.158 v5 s2 t=3234 n2_5Cs2t_12     C#2 t    -- --o | d:ppp
 37   2  3.241 v5 s2 t=3319 n2_5A2t_13      A2  t    -- --o | d:ppp
 38   2  3.324 v5 s2 t=3404 n2_5Cs2t_13     C#2 t    -- --o | d:ppp
 39   2  3.407 v5 s2 t=3489 n2_5Fs1s_4      F#1 s    -- --o | d:ppp
 40   2  3.574 v5 s2 t=3660 n2_5A2t_14      A2  t    -- --o | d:ppp
 41   2  3.657 v5 s2 t=3745 n2_5Cs2t_14     C#2 t    -- --o | d:ppp
meas:3 5/4 ticks:3840
  0   3  0.000 v1 s1 t=0    re3_1RM         R   M    -- --- | 
  1   3  0.000 v5 s2 t=0    n3_5A2t_0       A2  t    -- --o | d:ppp
  2   3  0.083 v5 s2 t=85   n3_5Fs1t_0      F#1 t    -- --o | d:ppp
  3   3  0.166 v5 s2 t=170  n3_5Cs2t_0      C#2 t    -- --o | d:ppp
  4   3  0.249 v5 s2 t=255  n3_5A2t_1       A2  t    -- --o | d:ppp
  5   3  0.332 v5 s2 t=340  n3_5Cs2t_1      C#2 t    -- --o | d:ppp
  6   3  0.415 v5 s2 t=425  n3_5Fs1s_0      F#1 s    -- --o | d:ppp
  7   3  0.582 v5 s2 t=596  n3_5A2t_2       A2  t    -- --o | d:ppp
  8   3  0.665 v5 s2 t=681  n3_5Cs2t_2      C#2 t    -- --o | d:ppp
  9   3  0.748 v5 s2 t=766  n3_5A2t_3       A2  t    -- --o | 
 10   3  0.831 v5 s2 t=851  n3_5Fs1t_1      F#1 t    -- --o | 
 11   3  0.914 v5 s2 t=936  n3_5Cs2t_3      C#2 t    -- --o | d:ppp
 12   3  0.997 v5 s2 t=1021 n3_5A2t_4       A2  t    -- --o | d:ppp
 13   3  1.080 v5 s2 t=1106 n3_5Cs2t_4      C#2 t    -- --o | d:ppp
 14   3  1.163 v5 s2 t=1191 n3_5Fs1s_1      F#1 s    -- --o | d:ppp
 15   3  1.330 v5 s2 t=1362 n3_5A2t_5       A2  t    -- --o | d:ppp+
 16   3  1.413 v5 s2 t=1447 n3_5Cs2t_5      C#2 t    -- --o | d:ppp+
 17   3  1.496 v5 s2 t=1532 n3_5A2t_6       A2  t    -- --o | d:ppp+
 18   3  1.579 v5 s2 t=1617 n3_5Fs1t_2      F#1 t    -- --o | d:ppp+
 19   3  1.662 v5 s2 t=1702 n3_5Cs2t_6      C#2 t    -- --o | d:ppp+
 20   3  1.745 v5 s2 t=1787 n3_5A2t_7       A2  t    -- --o | d:ppp+
 21   3  1.828 v5 s2 t=1872 n3_5Cs2t_7      C#2 t    -- --o | d:pp-
 22   3  1.911 v5 s2 t=1957 n3_5Fs1s_2      F#1 s    -- --o | d:pp-
 23   3  2.078 v5 s2 t=2128 n3_5A2t_8       A2  t    -- --o | d:pp-
 24   3  2.161 v5 s2 t=2213 n3_5Cs2t_8      C#2 t    -- --o | d:pp-
 25   3  2.244 v5 s2 t=2298 n3_5A2t_9       A2  t    -- --o | d:pp-
 26   3  2.327 v5 s2 t=2383 n3_5Fs1t_3      F#1 t    -- --o | d:pp-
 27   3  2.410 v5 s2 t=2468 n3_5Cs2t_9      C#2 t    -- --o | d:pp
 28   3  2.493 v5 s2 t=2553 n3_5A2t_10      A2  t    -- --o | d:pp
 29   3  2.576 v5 s2 t=2638 n3_5Cs2t_10     C#2 t    -- --o | d:pp
 30   3  2.659 v5 s2 t=2723 n3_5Fs1s_3      F#1 s    -- --o | d:pp
 31   3  2.826 v5 s2 t=2894 n3_5A2t_11      A2  t    -- --o | d:pp
 32   3  2.909 v5 s2 t=2979 n3_5Cs2t_11     C#2 t    -- --o | d:pp
 33   3  2.992 v5 s2 t=3064 n3_5A2t_12      A2  t    -- --o | d:pp+
 34   3  3.075 v5 s2 t=3149 n3_5Fs1t_4      F#1 t    -- --o | d:pp+
 35   3  3.158 v5 s2 t=3234 n3_5Cs2t_12     C#2 t    -- --o | d:pp+
 36   3  3.241 v5 s2 t=3319 n3_5A2t_13      A2  t    -- --o | d:pp+
 37   3  3.324 v5 s2 t=3404 n3_5Cs2t_13     C#2 t    -- --o | d:pp+
 38   3  3.407 v5 s2 t=3489 n3_5Fs1s_4      F#1 s    -- --o | d:pp+
 39   3  3.574 v5 s2 t=3660 n3_5A2t_14      A2  t    -- --o | d:ppp
