meas:1 6/4 ticks:4608
  0   1  0.000 v1 s1 t=0    re1_1RM         R   M    -- --- | metro:q:80
  6   8  0.300 v1 s1 t=307  n8_1C1s_0       C1  s    -- c-o | d:pp
  7   8  0.300 v1 s1 t=307  n8_1Bb1s_0      Bb1 s    -- c-o | d:pp
  8   8  0.332 v5 s2 t=340  n8_5Cs2s_0      C#2 s    -- --o | d:ppp
  9   8  0.450 v1 s1 t=461  n8_1Bb1s_1      Bb1 s    -- --o | d:pp+
 10   8  0.499 v5 s2 t=511  n8_5Fs1t_2      F#1 t    -- --o | d:ppp
 11   8  0.582 v5 s2 t=596  n8_5A2t_1       A2  t    -- --o | d:ppp
 12   8  0.601 v1 s1 t=615  n8_1C1s_1       C1  s    tb --o | d:pp+
 13   8  0.665 v5 s2 t=681  n8_5Cs2t_1      C#2 t    -- --o | d:ppp
 14   8  0.748 v5 s2 t=766  n8_5A2t_2       A2  t    -- --o | d:ppp
 15   8  0.751 v1 s1 t=769  n8_1C1s_2       C1  s    te --- | 
 16   8  0.831 v5 s2 t=851  n8_5Fs1t_3      F#1 t    -- --o | d:ppp
 17   8  0.901 v1 s1 t=923  n8_1Bb1s_2      Bb1 s    -- --o | d:pp+
 18   8  0.914 v5 s2 t=936  n8_5Cs2t_2      C#2 t    -- --o | d:ppp
 19   8  0.997 v5 s2 t=1021 n8_5Fs1t_4      F#1 t    -- --o | d:ppp
 20   8  1.052 v1 s1 t=1077 n8_1C1s_3       C1  s    -- --o | d:p-
 21   8  1.080 v5 s2 t=1106 n8_5Cs2s_1      C#2 s    -- --o | d:ppp
 22   8  1.202 v1 s1 t=1231 n8_1Bb1e_1      Bb1 e    -- --o | d:p-
 23   8  1.247 v5 s2 t=1277 n8_5Fs1t_5      F#1 t    -- --o | d:ppp
 24   8  1.330 v5 s2 t=1362 n8_5A2t_3       A2  t    -- --o | d:ppp
 25   8  1.413 v5 s2 t=1447 n8_5Cs2t_3      C#2 t    -- --o | d:ppp
 26   8  1.496 v5 s2 t=1532 n8_5A2t_4       A2  t    -- --o | d:ppp
 27   8  1.502 v1 s1 t=1538 n8_1C1s_4       C1  s    -- --o | d:p-
