meas,new_id,piano,orig_id,octave,note
292,7215A,A,6063,0,
292,7215C,C,5992,0,
293,7216,C,5992,0,"this is not actually a new section but because it changes from Spirio to human I assign a new code"
294,7217,B,6004,0,"human to Spirio"
295,7218,C,5993,0,
295,7219,B,6064,0,
295,7220,A,5993,0,
296,7221,A,5964,0,
296,7222,B,6065,0,
297,7223,C,5938,0,
299,7224,C,5984,0,
299,7225,B,6018,0,
299,7226,A,6066,0,
300,7227,C,5985,0,
301,7228,B,6000,0,
302,7229,C,6067,0,
304,7230,A,6018,0,"Spirio to human"
305,7231,B,6068,0,
305,7232,A,5964,0,
307,7233,C,5982,0,"Spirio to human to Spirio"
310,7234,B,6069,0,
311,7235,A,6070,0,
312,7236,C,5974,0,
313,7237A,A,6071,0,
313,7237B,B,6033,0,"human to Spirio"
313,7237C,C,5975,0,
317,7238A,A,6071,0,
317,7238B,B,6034,0,
317,7239,C,6034,0,
318,7240,B,6072,0,
319,7241,B,6073,0,
321,7242,A,5965,0,
322,7243,C,6036,0,
323,7244,C,6037,0,
323,7245,A,6074,0,
325,7246,B,6038,0,
326,7247,B,6038,0,
326,7248,C,6044,0,
327,7249,C,6045,0,
328,7250A,A,5989,0,
328,7250B,B,5988,0,
328,7250C,C,5992,0,
328,7251,C,5993,0,
329,7252,A,5990,0,
330,7253,A,5991,0,
330,7254,C,5994,0,
330,7255,C,5988,0,
331,7256,C,6074,0,
332,7257,C,6075,0,
332,7258A,A,6075,0,"assigned to red"
332,7258B,B,5965,0,"assigned to purple"
333,7259,C,6075,0,
334,7260,B,6076,0,
336,7261,C,6076,0,
337,7262,B,6076,0,
337,7263,A,6076,0,"assigned to purple"
338,7264,C,6076,0,"assigned to yellow"
338,7265,B,6076,0,
339,7266,A,6076,0,"assigned to purple"
340,7267,B,6077,0,
343,7268,C,6077,0,"assigned to red"
344,7269,A,5965,0,
346,7270,B,6077,0,
346,7271,C,6077,0,"assigned to red"
347,7272,A,6078,0,"assigned to purple"
348,7273,C,6078,0,"assigned to red"
348,7274,B,6078,0,
