meas,index,voice,loc,tick,sec,dur,rval,dots,sci_pitch,dmark,dlevel,status,d0,d1,bar,section,bpm,grace,pedal
,107,,,0,9.051504,,,,,,,176,64,19,,,,,
,108,,,0,9.064524,,,,,,,176,64,21,,,,,
,109,,,0,9.074940,,,,,,,176,64,26,,,,,
,110,,,0,9.085356,,,,,,,176,64,28,,,,,
,111,,,0,9.093168,,,,,,,176,64,31,,,,,
0,112,1,4315,0,9.095772,0.0,0.0,0,A1,,,144,33,46,,,,,
,113,,,0,9.103584,,,,,,,176,64,32,,,,,
,114,,,0,9.103584,,,,,,,128,73,0,,,,,
,115,,,0,9.111396,,,,,,,176,64,35,,,,,
,116,,,0,9.121812,,,,,,,176,64,39,,,,,
,117,,,0,9.132228,,,,,,,176,64,43,,,,,
,118,,,0,9.142644,,,,,,,176,64,47,,,,,
,119,,,0,9.153060,,,,,,,176,64,51,,,,,
,120,,,0,9.163476,,,,,,,176,64,57,,,,,
,121,,,0,9.171288,,,,,,,128,33,0,,,,,
,122,,,0,9.173892,,,,,,,176,64,62,,,,,
,123,,,0,9.181704,,,,,,,176,64,67,,,,,
,124,,,0,9.192120,,,,,,,176,64,74,,,,,
,125,,,0,9.202536,,,,,,,176,64,77,,,,,
,126,,,0,9.212952,,,,,,,176,64,82,,,,,
,127,,,0,9.223368,,,,,,,176,64,85,,,,,
0,128,1,-1,0,9.228576,0.0,0.0,0,C#4,,,144,61,50,,,,,
,129,,,0,9.233784,,,,,,,176,64,87,,,,,
,130,,,0,9.254616,,,,,,,176,64,89,,,,,
0,131,1,4328,0,9.272844,0.0,0.0,0,A1,,,144,33,52,,,,,
,132,,,0,9.272844,,,,,,,176,64,88,,,,,
,133,,,0,9.283260,,,,,,,176,64,89,,,,,
,134,,,0,9.285864,,,,,,,128,61,0,,,,,
,135,,,0,9.293676,,,,,,,176,64,90,,,,,
,136,,,0,9.301488,,,,,,,176,64,89,,,,,
,137,,,0,9.311904,,,,,,,176,64,91,,,,,
,138,,,0,9.322320,,,,,,,176,64,90,,,,,
,139,,,0,9.353568,,,,,,,176,64,91,,,,,
,140,,,0,9.361380,,,,,,,176,64,89,,,,,
,141,,,0,9.363984,,,,,,,128,33,0,,,,,
,142,,,0,9.371796,,,,,,,176,64,90,,,,,
,143,,,0,9.382212,,,,,,,176,64,89,,,,,
0,144,1,-1,0,9.387420,0.0,0.0,0,C#4,,,144,61,52,,,,,
,145,,,0,9.392628,,,,,,,176,64,90,,,,,
,146,,,0,9.403044,,,,,,,176,67,19,,,,,
,147,,,0,9.413460,,,,,,,176,64,89,,,,,
,148,,,0,9.413460,,,,,,,176,67,20,,,,,
,149,,,0,9.431688,,,,,,,176,64,87,,,,,
,150,,,0,9.460332,,,,,,,128,61,0,,,,,
,151,,,0,9.462936,,,,,,,176,64,83,,,,,
,152,,,0,9.473352,,,,,,,176,64,82,,,,,
,153,,,0,9.483768,,,,,,,176,64,77,,,,,
,154,,,0,9.491580,,,,,,,176,64,73,,,,,
,155,,,0,9.501996,,,,,,,176,64,66,,,,,
,156,,,0,9.512412,,,,,,,176,64,60,,,,,
,157,,,0,9.522828,,,,,,,176,64,51,,,,,
,158,,,0,9.533244,,,,,,,176,64,41,,,,,
,159,,,0,9.543660,,,,,,,176,64,32,,,,,
,160,,,0,9.551472,,,,,,,176,64,22,,,,,
0,161,1,4347,0,9.554076,0.0,0.0,0,A1,,,144,33,30,,,,,
,162,,,0,9.561888,,,,,,,176,64,15,,,,,
0,163,1,4349,0,9.569700,0.0,0.0,0,C#4,,,144,61,47,,,,,
0,164,1,4350,0,9.572304,0.0,0.0,0,F#2,,,144,42,30,,,,,
,165,,,0,9.572304,,,,,,,176,64,11,,,,,
,166,,,0,9.582720,,,,,,,176,64,5,,,,,
,167,,,0,9.593136,,,,,,,176,64,4,,,,,
,168,,,0,9.632196,,,,,,,176,64,5,,,,,
,169,,,0,9.642612,,,,,,,176,64,4,,,,,
,170,,,0,9.681672,,,,,,,176,64,5,,,,,
,171,,,0,9.692088,,,,,,,176,64,11,,,,,
,172,,,0,9.702504,,,,,,,176,64,17,,,,,
,173,,,0,9.712920,,,,,,,176,64,19,,,,,
,174,,,0,9.723336,,,,,,,176,64,25,,,,,
,175,,,0,9.733752,,,,,,,176,64,29,,,,,
