UID,trk,dtick,atick,amicro,type,ch,D0,D1,sci_pitch
    0,  0,         0,         0,         0,tempo,120,bpm,,    
    1,  0,         0,         0,         0, ctl,  0, 64, 15,    
    2,  0,         3,         3,      7812, ctl,  0, 64, 17,    
    3,  0,         4,         7,     18228, ctl,  0, 64, 18,    
    4,  0,         4,        11,     28644, ctl,  0, 64, 19,    
    5,  0,         4,        15,     39060, ctl,  0, 64, 20,    
    6,  0,         4,        19,     49476, ctl,  0, 64, 22,    
    7,  0,         4,        23,     59892, ctl,  0, 64, 23,    
    8,  0,         3,        26,     67704, ctl,  0, 64, 24,    
    9,  0,         8,        34,     88537, ctl,  0, 64, 25,    
   10,  0,        62,        96,    249995, ctl,  0, 64, 24,    
   11,  0,        11,       107,    278640, ctl,  0, 64, 25,    
   12,  0,       223,       330,    859369, ctl,  0, 64, 26,    
   13,  0,         4,       334,    869785, ctl,  0, 64, 27,    
   14,  0,         3,       337,    877597, ctl,  0, 64, 28,    
   15,  0,         4,       341,    888013, ctl,  0, 64, 29,    
   16,  0,         4,       345,    898429, ctl,  0, 64, 30,    
   17,  0,         8,       353,    919262, ctl,  0, 64, 31,    
   18,  0,       107,       460,   1197907, ctl,  0, 64, 30,    
   19,  0,         8,       468,   1218740, ctl,  0, 64, 29,    
   20,  0,         4,       472,   1229156, ctl,  0, 64, 28,    
   21,  0,         4,       476,   1239572, ctl,  0, 64, 27,    
   22,  0,         4,       480,   1249988, ctl,  0, 64, 26,    
   23,  0,         3,       483,   1257800, ctl,  0, 64, 25,    
   24,  0,         4,       487,   1268216, ctl,  0, 64, 24,    
   25,  0,         4,       491,   1278632, ctl,  0, 64, 22,    
   26,  0,         4,       495,   1289048, ctl,  0, 64, 21,    
   27,  0,         4,       499,   1299464, ctl,  0, 64, 19,    
   28,  0,         4,       503,   1309880, ctl,  0, 64, 16,    
   29,  0,         3,       506,   1317692, ctl,  0, 64, 15,    
   30,  0,         4,       510,   1328108, ctl,  0, 64, 13,    
   31,  0,         4,       514,   1338524, ctl,  0, 64, 12,    
   32,  0,         4,       518,   1348940, ctl,  0, 64, 11,    
   33,  0,        15,       533,   1388002, ctl,  0, 64, 10,    
   34,  0,        12,       545,   1419252, ctl,  0, 64, 11,    
   35,  0,         7,       552,   1437481, non,  0, 47, 44,  B2
   36,  0,         2,       554,   1442689, non,  0, 62, 54,  D4
   37,  0,         2,       556,   1447897, ctl,  0, 64, 12,    
   38,  0,         4,       560,   1458313, ctl,  0, 64, 13,    
   39,  0,         4,       564,   1468729, ctl,  0, 64, 14,    
   40,  0,         4,       568,   1479145, ctl,  0, 64, 16,    
   41,  0,         2,       570,   1484353, nof,  0, 62,  0,    
   42,  0,         2,       572,   1489561, ctl,  0, 64, 20,    
   43,  0,         4,       576,   1499977, ctl,  0, 64, 24,    
   44,  0,         3,       579,   1507789, ctl,  0, 64, 29,    
   45,  0,         2,       581,   1512997, nof,  0, 47,  0,    
   46,  0,         2,       583,   1518205, ctl,  0, 64, 35,    
   47,  0,         4,       587,   1528621, ctl,  0, 64, 39,    
   48,  0,         4,       591,   1539037, ctl,  0, 64, 42,    
   49,  0,         4,       595,   1549453, ctl,  0, 64, 45,    
   50,  0,         4,       599,   1559869, ctl,  0, 64, 47,    
   51,  0,         3,       602,   1567681, ctl,  0, 64, 49,    
