 13  13  0.675 v5 s1 t=768  ng13_5A5e_1     A5  e    -- -go | 
 14  13  0.675 v6 s2 t=768  ng13_6Re_5      R   e    -- -g- | 
 15  13  0.750 v5 s2 t=768  n13_5D3q        D3  q    -- c-o | 
 16  13  0.750 v5 s2 t=768  n13_5E3q        E3  q    -- c-o | 
 17  13  0.750 v6 s2 t=768  n13_6C1q_0      C1  q    -- --o | 
 18  13  1.500 v1 s1 t=1536 re13_1Rh_1      R   h.   -- --- | damp:up
 19  13  1.500 v5 s2 t=1536 re13_5Rq        R   q    -- --- | 
 20  13  1.500 v6 s2 t=1536 re13_6Rh        R   h.   -- --- | 
 21  13  2.250 v5 s2 t=2304 re13_5Rh        R   h.   -- --- | 
 22  13  3.750 v1 s1 t=3840 re13_1Re        R   e    -- --- | damp:down section:7005
 23  13  3.750 v6 s2 t=3840 n13_6C1q_1      C1  q    tb --o | 
 24  13  4.125 v1 s1 t=4224 n13_1C6e        C6  e    tb c-o | d:ppp
 25  13  4.125 v1 s1 t=4224 n13_1F6e        F6  e    tb c-o | d:ppp
meas:14 7/4 ticks:5376
  0  14  0.000 v1 s1 t=0    n14_1C6q        C6  q    te c-- | 
  1  14  0.000 v1 s1 t=0    n14_1F6q        F6  q    te c-- | 
  2  14  0.000 v5 s2 t=0    re14_5Rq        R   q    -- --- | 
  3  14  0.000 v6 s2 t=0    n14_6C1w        C1  w    tc --- | 
  4  14  0.750 v1 s1 t=768  re14_1Rq        R   q    -- --- | 
  5  14  0.750 v5 s2 t=768  n14_5A3w        A3  w.   -- --o | d:p
  6  14  1.250 v1 s1 t=1280 n14_1Cs6e       C#6 e    tb --o | d:ppp
  7  14  1.500 v1 s1 t=1536 n14_1Cs6q       C#6 q    te --- | 
  8  14  2.250 v1 s1 t=2304 re14_1Re        R   e    -- --- | 
  9  14  2.625 v1 s2 t=2688 n14_1Ab2e       Ab2 e    -- --o | d:p
 10  14  3.000 v1 s1 t=3072 n14_1Bb3q       Bb3 q    tb --o | d:pp+
 11  14  3.000 v6 s2 t=3072 n14_6C1h        C1  h.   te --- | 
 12  14  3.500 v1 s1 t=3584 n14_1Bb3s       Bb3 s    te --- | 
 13  14  3.625 v1 s1 t=3712 n14_1Db7t       Db7 t    -- --o | d:ppp
 14  14  3.688 v1 s2 t=3776 n14_1Bb2t       Bb2 t    -- --o | d:ppp
 15  14  3.750 v1 s2 t=3840 n14_1E2q        E2  q    -- --o | d:ppp+
 16  14  4.250 v1 s1 t=4352 n14_1Db6q       Db6 q    -- --o | d:pp
 17  14  4.750 v1 s1 t=4864 n14_1C5q        C5  q    -- --o | 
